E	-	5	2	6	1	A	B	3	7	D	F	-	C	0	-
F	4	0	C	9	7	D	3	2	1	B	5	6	A	8	E
A	7	6	-	5	E	F	4	8	-	0	C	2	-	-	B
-	1	3	B	0	8	C	2	A	4	E	-	7	5	F	D
4	0	-	9	B	3	8	-	E	-	F	A	1	6	7	2
B	E	2	-	7	F	4	9	1	3	6	0	C	8	-	-
3	5	F	1	E	-	6	-	7	8	C	2	B	4	9	A
-	6	C	7	A	5	2	1	D	B	4	9	F	3	E	0
C	D	8	0	F	B	-	E	9	6	A	4	-	7	-	-
7	A	E	3	-	6	9	8	B	C	5	D	0	F	4	1
6	F	9	4	D	-	3	5	0	2	-	-	-	B	-	8
1	-	B	5	C	4	7	0	F	E	3	8	A	D	6	9
2	B	4	F	8	D	5	7	-	0	9	1	3	E	A	6
-	3	7	6	1	2	0	F	4	A	8	E	D	9	B	C
0	9	A	E	4	C	B	6	5	D	7	3	8	-	1	F
D	C	1	8	3	9	-	A	6	F	2	-	4	0	5	-
